Predict Base,Probability Interval,Probability Previous,Probability Next,Time Previous,Time Next,classe
1,0.38095,0.63636,0.18182,4,4,0
0,0.33333,0.54545,0.09091,1,3,0
0,0.28571,0.45455,0.09091,2,2,0
0,0.2381,0.36364,0.09091,3,1,0
1,0.2381,0.45455,0.09091,4,10,0
0,0.19048,0.36364,0.0,1,10,0
0,0.14286,0.27273,0.0,2,10,0
0,0.09524,0.18182,0.0,3,10,0
0,0.09524,0.18182,0.0,4,10,0
0,0.09524,0.18182,0.0,5,10,0
0,0.09524,0.18182,0.0,6,10,0
0,0.04762,0.09091,0.0,7,10,0
0,0.04762,0.09091,0.0,8,10,0
0,0.04762,0.09091,0.0,9,10,0
0,0.04762,0.09091,0.0,10,10,0
0,0.04762,0.0,0.09091,10,10,0
0,0.09524,0.0,0.18182,10,9,0
0,0.14286,0.0,0.27273,10,8,0
0,0.19048,0.0,0.36364,10,7,0
0,0.19048,0.0,0.36364,10,6,0
0,0.19048,0.0,0.36364,10,5,0
0,0.2381,0.0,0.45455,10,4,0
0,0.2381,0.0,0.45455,10,3,0
0,0.28571,0.0,0.54545,10,2,0
0,0.33333,0.0,0.63636,10,1,0
1,0.38095,0.09091,0.72727,10,1,0
1,0.42857,0.18182,0.72727,1,1,1
1,0.47619,0.27273,0.72727,1,1,1
1,0.52381,0.36364,0.72727,1,3,1
0,0.52381,0.36364,0.63636,1,2,1
0,0.52381,0.36364,0.63636,2,1,1
1,0.52381,0.45455,0.63636,3,2,1
0,0.52381,0.45455,0.54545,1,1,1
1,0.57143,0.54545,0.63636,2,1,1
1,0.61905,0.63636,0.63636,1,1,1
1,0.66667,0.72727,0.63636,1,1,1
1,0.66667,0.72727,0.63636,1,1,1
1,0.66667,0.72727,0.63636,1,1,1
1,0.66667,0.72727,0.63636,1,5,1
0,0.66667,0.63636,0.63636,1,4,1
0,0.66667,0.63636,0.63636,2,3,1
0,0.71429,0.63636,0.72727,3,2,1
0,0.71429,0.54545,0.81818,4,1,1
1,0.7619,0.63636,0.90909,5,1,1
1,0.7619,0.63636,0.90909,1,1,1
1,0.7619,0.63636,0.90909,1,1,1
1,0.7619,0.63636,0.90909,1,1,1
1,0.7619,0.63636,0.90909,1,1,1
1,0.71429,0.63636,0.81818,1,1,1
1,0.71429,0.63636,0.81818,1,2,1
0,0.7619,0.63636,0.81818,1,1,1
1,0.80952,0.72727,0.90909,2,1,1
1,0.85714,0.81818,0.90909,1,1,1
1,0.90476,0.90909,0.90909,1,1,1
1,0.90476,0.90909,0.90909,1,1,1
1,0.90476,0.90909,0.90909,1,1,1
1,0.90476,0.90909,0.90909,1,1,1
1,0.85714,0.90909,0.81818,1,2,1
0,0.80952,0.81818,0.72727,1,1,1
1,0.7619,0.81818,0.72727,2,1,1
1,0.71429,0.81818,0.63636,1,1,1
1,0.71429,0.90909,0.54545,1,1,1
1,0.71429,0.90909,0.54545,1,1,1
1,0.66667,0.90909,0.45455,1,1,1
1,0.61905,0.90909,0.36364,1,1,1
1,0.57143,0.90909,0.27273,1,1,1
1,0.52381,0.90909,0.18182,1,6,1
0,0.47619,0.81818,0.09091,1,5,1
0,0.42857,0.72727,0.09091,2,4,1
0,0.42857,0.72727,0.09091,3,3,1
0,0.38095,0.63636,0.09091,4,2,1
0,0.33333,0.54545,0.09091,5,1,1
1,0.33333,0.54545,0.18182,6,10,1
0,0.28571,0.45455,0.09091,1,9,0
0,0.2381,0.36364,0.09091,2,8,0
0,0.19048,0.27273,0.09091,3,7,0
0,0.14286,0.18182,0.09091,4,6,0
0,0.09524,0.09091,0.09091,5,5,0
0,0.09524,0.09091,0.09091,6,4,0
0,0.09524,0.09091,0.09091,7,3,0
0,0.09524,0.09091,0.09091,8,2,0
0,0.09524,0.09091,0.09091,9,1,0
1,0.09524,0.18182,0.09091,10,10,0
0,0.04762,0.09091,0.0,1,10,0
