Predict Base,Probability Interval,Probability Previous,Probability Next,Time Previous,Time Next,classe
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.04762,0.0,0.09091,10,10,0
0,0.04762,0.0,0.09091,10,9,0
0,0.09524,0.0,0.18182,10,8,0
0,0.14286,0.0,0.27273,10,7,0
0,0.19048,0.0,0.36364,10,6,0
0,0.2381,0.0,0.45455,10,5,0
0,0.28571,0.0,0.54545,10,4,0
0,0.33333,0.0,0.63636,10,3,0
0,0.38095,0.0,0.72727,10,2,0
0,0.42857,0.0,0.81818,10,1,0
1,0.47619,0.09091,0.90909,10,2,0
0,0.52381,0.09091,0.90909,1,1,0
1,0.57143,0.18182,1.0,2,1,0
1,0.61905,0.27273,1.0,1,1,0
1,0.66667,0.36364,1.0,1,1,1
1,0.71429,0.45455,1.0,1,1,1
1,0.7619,0.54545,1.0,1,1,1
1,0.80952,0.63636,1.0,1,1,1
1,0.85714,0.72727,1.0,1,1,1
1,0.90476,0.81818,1.0,1,1,1
1,0.95238,0.90909,1.0,1,1,1
1,0.95238,0.90909,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,1.0,1.0,1.0,1,1,1
1,0.95238,1.0,0.90909,1,1,1
1,0.90476,1.0,0.81818,1,1,1
1,0.90476,1.0,0.81818,1,1,1
1,0.90476,1.0,0.81818,1,1,1
1,0.85714,1.0,0.72727,1,1,1
1,0.80952,1.0,0.63636,1,1,1
1,0.80952,1.0,0.63636,1,1,1
1,0.80952,1.0,0.63636,1,1,1
1,0.7619,1.0,0.54545,1,1,1
1,0.71429,1.0,0.45455,1,3,1
0,0.66667,0.90909,0.36364,1,2,0
0,0.61905,0.81818,0.36364,2,1,0
1,0.57143,0.81818,0.36364,3,1,0
1,0.52381,0.81818,0.27273,1,3,0
0,0.47619,0.72727,0.18182,1,2,0
0,0.42857,0.63636,0.18182,2,1,0
1,0.38095,0.63636,0.18182,3,1,0
1,0.33333,0.63636,0.09091,1,10,0
0,0.28571,0.54545,0.0,1,10,0
0,0.2381,0.45455,0.0,2,10,0
0,0.19048,0.36364,0.0,3,10,0
